date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:34:14	35909/35909	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Apr%202019%2010:44:46%20GMT	https://grandetest.com/theme/html-careerup/page-employer-resume.html	grandetest.com/theme/html-careerup/page-employer-resume.html	(from https://grandetest.com/theme/html-careerup/)
08:34:15	28641/28641	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Apr%202019%2010:44:44%20GMT	https://grandetest.com/theme/html-careerup/page-employer-packages.html	grandetest.com/theme/html-careerup/page-employer-packages.html	(from https://grandetest.com/theme/html-careerup/)
08:34:16	28613/28613	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Apr%202019%2010:44:44%20GMT	https://grandetest.com/theme/html-careerup/page-employer-transactions.html	grandetest.com/theme/html-careerup/page-employer-transactions.html	(from https://grandetest.com/theme/html-careerup/)
08:34:17	26970/26970	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Apr%202019%2010:44:44%20GMT	https://grandetest.com/theme/html-careerup/page-employer-change-password.html	grandetest.com/theme/html-careerup/page-employer-change-password.html	(from https://grandetest.com/theme/html-careerup/)
08:34:18	61849/61849	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Apr%202019%2012:52:18%20GMT	https://grandetest.com/theme/html-careerup/page-candidates-list-v1.html	grandetest.com/theme/html-careerup/page-candidates-list-v1.html	(from https://grandetest.com/theme/html-careerup/)
08:34:19	66023/66023	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Apr%202019%2012:52:44%20GMT	https://grandetest.com/theme/html-careerup/page-candidates-list-v2.html	grandetest.com/theme/html-careerup/page-candidates-list-v2.html	(from https://grandetest.com/theme/html-careerup/)
08:34:20	63182/63182	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Apr%202019%2012:56:44%20GMT	https://grandetest.com/theme/html-careerup/page-candidates-list-v3.html	grandetest.com/theme/html-careerup/page-candidates-list-v3.html	(from https://grandetest.com/theme/html-careerup/)
08:34:21	46076/46076	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Apr%202019%2010:44:48%20GMT	https://grandetest.com/theme/html-careerup/page-candidates-single-v1.html	grandetest.com/theme/html-careerup/page-candidates-single-v1.html	(from https://grandetest.com/theme/html-careerup/)
08:34:22	44067/44067	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Apr%202019%2010:44:48%20GMT	https://grandetest.com/theme/html-careerup/page-candidates-single-v2.html	grandetest.com/theme/html-careerup/page-candidates-single-v2.html	(from https://grandetest.com/theme/html-careerup/)
08:34:23	44964/44964	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Apr%202019%2010:44:48%20GMT	https://grandetest.com/theme/html-careerup/page-candidates-single-v3.html	grandetest.com/theme/html-careerup/page-candidates-single-v3.html	(from https://grandetest.com/theme/html-careerup/)
08:34:24	34774/34774	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Dec%202019%2015:28:38%20GMT	https://grandetest.com/theme/html-careerup/page-candidates-dashboard.html	grandetest.com/theme/html-careerup/page-candidates-dashboard.html	(from https://grandetest.com/theme/html-careerup/)
08:34:25	37409/37409	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Apr%202019%2010:44:46%20GMT	https://grandetest.com/theme/html-careerup/page-candidates-profile.html	grandetest.com/theme/html-careerup/page-candidates-profile.html	(from https://grandetest.com/theme/html-careerup/)
08:34:26	37103/37103	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Apr%202019%2010:44:46%20GMT	https://grandetest.com/theme/html-careerup/page-candidates-my-resume.html	grandetest.com/theme/html-careerup/page-candidates-my-resume.html	(from https://grandetest.com/theme/html-careerup/)
08:34:27	35420/35420	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Apr%202019%2010:44:46%20GMT	https://grandetest.com/theme/html-careerup/page-candidates-applied-jobs.html	grandetest.com/theme/html-careerup/page-candidates-applied-jobs.html	(from https://grandetest.com/theme/html-careerup/)
08:34:28	29923/29923	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Apr%202019%2010:44:44%20GMT	https://grandetest.com/theme/html-careerup/page-candidates-cv-manager.html	grandetest.com/theme/html-careerup/page-candidates-cv-manager.html	(from https://grandetest.com/theme/html-careerup/)
08:34:29	35900/35900	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Apr%202019%2010:44:46%20GMT	https://grandetest.com/theme/html-careerup/page-candidates-favourite-jobs.html	grandetest.com/theme/html-careerup/page-candidates-favourite-jobs.html	(from https://grandetest.com/theme/html-careerup/)
